text,label
I love this movie,positive
This film was amazing,positive
I really enjoyed it,positive
Best experience ever,positive
I hate this movie,negative
This was very bad,negative
Worst film I have seen,negative
I did not like it,negative
I love this movie,positive
This film was amazing,positive
I really enjoyed it,positive
Best experience ever,positive
Absolutely wonderful story,positive
Fantastic acting and direction,positive
I am very happy with this,positive
This is great,positive
I hate this movie,negative
This was very bad,negative
Worst film I have seen,negative
I did not like it,negative
Terrible experience,negative
Very disappointing,negative
Not good at all,negative
I am unhappy with this,negative
